height_cm,media,price_gbp,title,url,width_cm
30,Acrylic paint on sprayed board,24,P10 by Olly Fathers,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30
32,"Various wood veneers, various woods, board",110,Constructed Veneer IV by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,32
130,"Oil paint, spray paint & gold leaf on board",N/A,Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,130
130,"Oil paint, spray paint & gold leaf on board",N/A,The Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,130
40,"Oil paint, spray paint & gold leaf on board",N/A,OFF ROAD by Lucy Baker,https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,40
24,"Various wood veneers, various woods, board",94,Constructed Veneer VI by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,24
53,Sprayed board,340,Candy Flop by Olly Fathers,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,53
33,"Various wood veneers, various woods, board",94,Constructed Veneer V by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,33
25,"Various wood veneers, various woods, board",94,Constructed Veneer VII by Olly Fathers,https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,25
120,90x120,N/A,Overland I by Jane Ward,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,120
21,"Spraypaint, vinyl, card, digital print collage",N/A,Collage 2 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,21
21,"Spraypaint, vinyl, card, digital print collage",N/A,Collage 3 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,21
30,Acrylic paint on sprayed board,24,P1 by Olly Fathers,https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,30
30,Acrylic paint on sprayed board,24,C6 by Olly Fathers,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30
21,"Spraypaint, vinyl, card, digital print collage",N/A,Collage 1 by Olly Fathers,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,21
30,Acrylic paint on sprayed board,24,C13 by Olly Fathers,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30
30,Acrylic paint on sprayed board,24,P8 by Olly Fathers,https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,30
120,Sprayed board,400,Crossroads by Olly Fathers,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120
40,Oil paint & spray paint on board,N/A,Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,40
70,"Spraypaint, board, card, digital print collage",194,Tommy by Olly Fathers,https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,70
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts II by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-ii-by-elise-wootten,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts III by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iii-by-elise-wootten,50
89,"Aluminium, Inkjet Vinyl Print",N/A,Somewhat Confusing II by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-ii-by-elise-wootten,89
30,Acrylic paint on sprayed board,24,P4 by Olly Fathers,https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,30
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts IV by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts V by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,50
120,Archival digital print on canvas with dissolved canvas,N/A,The Ephemeral Isles by Jane Ward,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,120
50,"oil on canvas with charcoal, watercolour and pencil",64,You Took My Breath Away by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,50
80,"Oil with charcoal, watercolour and sand on canvas",140,As The Tide Turned by Dominic Bradnum,https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,80
120,Archival digital print on canvas with dissolved canvas,N/A,To The Zenith's Height by Jane Ward,https://www.bearspace.co.uk/product-page/to-the-zenith-s-height-by-jane-ward,120
50,Set of four,N/A,All Recognisable Entities by Elise Wootten,https://www.bearspace.co.uk/product-page/all-recognisable-entities-by-elise-wootten,50
50,Inkjet Print (Hahnemuhle Ultra-Smooth),N/A,Balancing Acts I by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-i-by-elise-wootten,50
50,"oil with charcoal, watercolour and pencil on canvas",N/A,Morning Came by Dominic Bradnum,https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,50
88,"Aluminium, Inkjet Vinyl Print",N/A,Somewhat Confusing I by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-i-by-elise-wootten,88
14,16cm x 14cm,44,Kin by Vic Wright,https://www.bearspace.co.uk/product-page/kin-by-vic-wright,14
882019,"Aluminium, Inkjet Vinyl Print",N/A,Somewhat Confusing III by Elise Wootten,https://www.bearspace.co.uk/product-page/somewhat-confusing-iii-by-elise-wootten,882019
34,"Oil paint, spray paint & gold leaf on board",N/A,Another Sunset by Lucy Baker,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,34
height_cm,media,price_gbp,title,url,width_cm
53,Sprayed board,340,Candy Flop by Olly Fathers,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,53
30,Acrylic paint on sprayed board,24,P10 by Olly Fathers,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30
120,Sprayed board,400,Crossroads by Olly Fathers,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120
130,"Oil paint, spray paint & gold leaf on board",N/A,Amazons by Lucy Baker,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,130
70,"Spraypaint, board, card, digital print collage",194,Tommy by Olly Fathers,https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,70
120,90x120,N/A,Overland I by Jane Ward,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,120
130,"Oil paint, spray paint & gold leaf on board",N/A,The Hurricane by Lucy Baker,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,130
height_cm,media,price_gbp,title,url,width_cm
30,Acrylic paint on sprayed board,24,P10 by Olly Fathers,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30
